
*** Data Prefetching Championship 2 Simulator ***

Warmup Instructions: 0
Simulation Instructions: 100000000
Scramble loads OFF
Using 256KB Last Level Cache
Using 12.8 GB/s DRAM bandwidth
Knobs visible from prefetcher: 0 1 0
Resetting history queue.
Setting up the minimum score
Resetting offset table
Setting initial offset to 1
Tag offset: 6
Resetting rable rounds
Resetting gauge

Warmup complete. Instructions retired: 3 Cycles elapsed: 2 IPC: 1.500000
Cycle: 15	Rate: 32
Cycle: 16	Rate: 31
Cycle: 17	Rate: 31
Cycle: 19	Rate: 30
Cycle: 22	Rate: 30
Cycle: 23	Rate: 29
Cycle: 25	Rate: 29
Cycle: 45	Rate: 28
Cycle: 197	Rate: 29
Cycle: 200	Rate: 29
Cycle: 202	Rate: 28
Cycle: 226	Rate: 28
Cycle: 270	Rate: 28
Cycle: 415	Rate: 29
Cycle: 431	Rate: 29
Cycle: 447	Rate: 29
Cycle: 453	Rate: 28
Cycle: 511	Rate: 28
Cycle: 609	Rate: 29
Cycle: 615	Rate: 29
Cycle: 625	Rate: 28
Cycle: 641	Rate: 28
Cycle: 803	Rate: 29
Cycle: 809	Rate: 29
Cycle: 933	Rate: 30
Cycle: 939	Rate: 30
Cycle: 953	Rate: 29
Cycle: 955	Rate: 29
Cycle: 1039	Rate: 29
Cycle: 1071	Rate: 29
Cycle: 1077	Rate: 29
Cycle: 1086	Rate: 29
Cycle: 1201	Rate: 30
Cycle: 1207	Rate: 30
Cycle: 1217	Rate: 29
Cycle: 1223	Rate: 29
Cycle: 1245	Rate: 29
Cycle: 1261	Rate: 28
Cycle: 1391	Rate: 28
Cycle: 1397	Rate: 29
Cycle: 1406	Rate: 29
Cycle: 1407	Rate: 29
Cycle: 1413	Rate: 28
Cycle: 1414	Rate: 28
Cycle: 1424	Rate: 27
Cycle: 1522	Rate: 28
Cycle: 1554	Rate: 28
Cycle: 1731	Rate: 29
Cycle: 1747	Rate: 29
Cycle: 1779	Rate: 29
Cycle: 1925	Rate: 30
Cycle: 1941	Rate: 30
Cycle: 1973	Rate: 30
Cycle: 1988	Rate: 30
Cycle: 2233	Rate: 31
Cycle: 2248	Rate: 31
Cycle: 2249	Rate: 30
Cycle: 2259	Rate: 30
Cycle: 2309	Rate: 30
Cycle: 2363	Rate: 30
Cycle: 2701	Rate: 31
Cycle: 2702	Rate: 31
Cycle: 2705	Rate: 30
Cycle: 2707	Rate: 30
Cycle: 2713	Rate: 29
Cycle: 2714	Rate: 29
Cycle: 2717	Rate: 28
Cycle: 2718	Rate: 28
Cycle: 2719	Rate: 27
Cycle: 2720	Rate: 27
Cycle: 3051	Rate: 28
Cycle: 3052	Rate: 28
Cycle: 3059	Rate: 27
Cycle: 3063	Rate: 27
Cycle: 3064	Rate: 26
Cycle: 3092	Rate: 26
Cycle: 3094	Rate: 26
Cycle: 3513	Rate: 27
Cycle: 3514	Rate: 27
